"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","CASE","COMMENT","DRAIN CURRENT","HELPURL","LATESTREVISIONDATE","LATESTREVISIONNOTE","MAX CURRENT","MAX POWER","MAX VOLTAGE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PUBLISHED","PUBLISHER","RATED POWER","SUPPLIER 1","SUPPLIER PART NUMBER 1","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"1N4148_JD","0603P_JD","","","1N4148","","https://www.tme.eu/Document/8a0f4bd1d0e0495ebb1834ba060fbfa0/CD4148.pdf","","","150mA","500mW","","","","","","","TME","1N4148-1206","","*","D?",""
"2N7002K_JD","SOT23_JD","","","2N7002K","380mA","","","","","300mW","","","","","","","TME","2N7002K-7","","*","Q?",""
"ARK2_2.54_JD","ARK_DG308-2.54x2_JD","","","ARK_2.54","","https://www.tme.eu/Document/e399f683de63f8ff6d8fcb1baa663eaf/DG308-2.54.pdf","","","6A","","150","","","","","","TME","DG308-2.54-02P","","*","J?",""
"CD4027BM_JKFF_JD","SO16_JD","","SOP16","CD4027BM","","https://www.ti.com/lit/ds/symlink/cd4027b-mil.pdf","","","","","","","","","","","TME","CD4027BM","","*","U?",""
"CD4070BM_XOR_JD","SO14_JD","","SO14","CD4070BM","","http://www.ti.com/lit/ds/symlink/cd4077b.pdf","","","","","","","","","","","TME","CD4070BM","","*","U?",""
"CD4093BM_SCHMITT_JD","SO14_JD","","","CD4093BM","","https://www.ti.com/lit/ds/symlink/cd4093b.pdf","","","","","","","","","","","TME","CD4093BM","","*","U?",""
"ELECTROLYTIC_CAP_JD","POLAR0.8","POL_CAP_JD","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","Polarized Capacitor; 2 Leads","POLAR0.8","8-Jun-2000","Altium Limited","","TME","EEEFP1C471AP","470uF","","C?",""
"GOLDPIN_JD","GOLDPINx6_JD","","","GOLDPIN_HEADER","","https://www.tme.eu/Document/719e00d14e261a014e3a7e1c938a6b50/77311-818-XXLF.pdf","","","","","","","","","","","TME","77311-818-06LF","","*","J?",""
"POT_TS53J_JD","J_VISHAY_JD","","","TRIMPOT","","https://www.tme.eu/Document/214820d8bf228e416b0cbb84d9c6ed07/ts53yj.pdf","","","","","","","","","","0.25W","TME","TS53YJ1M","1M","*","R?",""
"SWITCH_JD","SPST_JD","","","SWITCH_JD","","","17-Jul-2002","Re-released for DXP Platform.","","","","Switch; 2 Leads","SPST-2","24-Mar-1999","Altium Limited","","TME","B3F-4055","","","S?","Switch"
